date,title,kws,loc,org,per,content
2022-06-20,Article sur Politique et Santé,"['Politique', 'Technologie', 'Santé']","['Washington', 'Alger']",['OMS'],"['Poutine', 'Mbappé']","Ceci est un article fictif parlant de Politique, Technologie, Santé à Washington, Alger."
2023-05-29,Article sur Santé et Technologie,"['Santé', 'Politique', 'Technologie']","['Dakar', 'Berlin', 'Alger']",['Google'],"['Mbappé', 'Biden']","Ceci est un article fictif parlant de Santé, Politique, Technologie à Dakar, Berlin, Alger."
2023-01-06,Article sur Santé et Santé,['Santé'],"['Berlin', 'Moscou']","['UE', 'OTAN']","['Musk', 'Von der Leyen']","Ceci est un article fictif parlant de Santé à Berlin, Moscou."
2023-04-30,Article sur Culture et Culture,['Culture'],"['Alger', 'Moscou']",[],[],"Ceci est un article fictif parlant de Culture à Alger, Moscou."
2023-01-18,Article sur Santé et Santé,['Santé'],['Paris'],"['FMI', 'ONU']",['Biden'],Ceci est un article fictif parlant de Santé à Paris.
2023-05-07,Article sur Sport et Économie,"['Sport', 'Économie']","['Moscou', 'Berlin']",['Sanofi'],['Von der Leyen'],"Ceci est un article fictif parlant de Sport, Économie à Moscou, Berlin."
2022-11-28,Article sur Économie et Sport,"['Économie', 'Sport']","['Pékin', 'Moscou', 'Paris']","['Google', 'Total']",['Biden'],"Ceci est un article fictif parlant de Économie, Sport à Pékin, Moscou, Paris."
2022-06-09,Article sur Politique et Politique,['Politique'],"['Dakar', 'Alger', 'Paris']",['OMS'],['Zelensky'],"Ceci est un article fictif parlant de Politique à Dakar, Alger, Paris."
2022-03-15,Article sur Économie et Économie,"['Économie', 'Culture', 'Économie']",['Washington'],['Total'],['Von der Leyen'],"Ceci est un article fictif parlant de Économie, Culture, Économie à Washington."
2023-04-25,Article sur Sport et Sport,['Sport'],"['Berlin', 'Moscou', 'Alger']",['Sanofi'],['Von der Leyen'],"Ceci est un article fictif parlant de Sport à Berlin, Moscou, Alger."
2022-01-10,Article sur Santé et Politique,"['Santé', 'Santé', 'Politique']","['Pékin', 'Paris']","['Total', 'UE']",['Macron'],"Ceci est un article fictif parlant de Santé, Santé, Politique à Pékin, Paris."
2022-04-03,Article sur Technologie et Technologie,['Technologie'],['Bruxelles'],[],"['Mbappé', 'Musk']",Ceci est un article fictif parlant de Technologie à Bruxelles.
2023-06-08,Article sur Économie et Économie,['Économie'],"['Alger', 'Dakar', 'Bruxelles']","['OTAN', 'FMI']",[],"Ceci est un article fictif parlant de Économie à Alger, Dakar, Bruxelles."
2023-07-07,Article sur Environnement et Santé,"['Environnement', 'Santé']",['Pékin'],[],['Biden'],"Ceci est un article fictif parlant de Environnement, Santé à Pékin."
2023-10-20,Article sur Technologie et Sport,"['Technologie', 'Santé', 'Sport']","['Londres', 'Dakar']",['Tesla'],"['Von der Leyen', 'Biden']","Ceci est un article fictif parlant de Technologie, Santé, Sport à Londres, Dakar."
2023-02-04,Article sur Sport et Sport,"['Sport', 'Environnement', 'Sport']","['Berlin', 'Paris', 'Moscou']","['Total', 'OTAN']","['Macron', 'Musk']","Ceci est un article fictif parlant de Sport, Environnement, Sport à Berlin, Paris, Moscou."
2022-12-31,Article sur Technologie et Culture,"['Technologie', 'Culture']",['Paris'],"['UE', 'Sanofi']",[],"Ceci est un article fictif parlant de Technologie, Culture à Paris."
2023-10-19,Article sur Politique et Économie,"['Politique', 'Environnement', 'Économie']","['Londres', 'Pékin', 'Dakar']",[],[],"Ceci est un article fictif parlant de Politique, Environnement, Économie à Londres, Pékin, Dakar."
2023-04-08,Article sur Technologie et Technologie,"['Technologie', 'Technologie']","['Paris', 'Bruxelles']",[],"['Xi Jinping', 'Biden']","Ceci est un article fictif parlant de Technologie, Technologie à Paris, Bruxelles."
